Hotel Name,Price,Image,Address,Float Rating,Rating,Hotel URL
Comfort Inn Benares,4750.0,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304271011,"Cantonment, Varanasi",4.0,4/5 Very Good (2255),https://www.yatra.com/hotels/hotels-in-varanasi/hotel-comfort-inn
The India Benares,4650.0,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304271011,"Cantonment, Varanasi",4.1,4.1/5 Excellent (2286),https://www.yatra.com/hotels/hotels-in-varanasi/hotel-india-varanasi
The Amayaa,6435.0,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304271011,"Cantonment, Varanasi",4.2,4.2/5 Excellent (1355),https://www.yatra.com/hotels/hotels-in-varanasi/hotel-ideal-tower
Rivatas by Ideal,7000.0,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304271011,Varanasi,3.8,3.8/5 Very Good (4036),https://www.yatra.com/hotels/hotels-in-varanasi/rivatas-by-ideal
Hotel Uday Palace,3278.0,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304271011,"Sunderpur Road, Varanasi",4.0,4/5 Very Good (2286),https://www.yatra.com/hotels/hotels-in-varanasi/hotel-uday-palace
